italian,english
ci incontriamo,we meet each other
Nuova Zelanda,New Zealand
quando eravamo giovani,when we were young
flessibile,flexible
qualcosa da fare,something to do
a sud dell'Australia,south of Australia
decidere,to decide
decisione,decision
sbagliata,wrong (feminine)
affittare,to rent
sono ingrassato,I gained weight
c'è,there is
ci sono,there are
ogni notte,every night
periferia,suburb
antenati,ancestors
generazioni,generations
ho iniziato,I started
ti piacerebbe,would you like
Giappone,Japan
ha fatto il compleanno ieri,he/she had their birthday yesterday
devi bere,you must drink
devo bere,I must drink
postumi della sbornia,hangover
mi sono dovuto svegliare,I had to wake up
il meccanico,the mechanic
apre alle sette,it opens at seven
ha aperto,he/she opened
seccante,annoying
sono le dieci di mattina,it is ten in the morning
a casa mia,at my house
è venuto a casa,he came home
eravamo in un ristorante,we were in a restaurant
non ha letto il suo messaggio,he/she didn't read his/her message
andare in palestra,to go to the gym
lezione,lesson
due o tre volte la settimana,two or three times a week
da dove vieni?,where do you come from?
di dove sei?,where are you from?
nella periferia di Melbourne,in the suburbs of Melbourne
a trenta minuti dalla città in treno,thirty minutes from the city by train
vivo a Melbourne da cinque anni,I have lived in Melbourne for five years
trasferirsi,to move / to relocate
mi sono trasferito,I moved / I relocated
da quante persone è composta la tua famiglia?,how many people are in your family?
più giovane,younger
più piccola,smaller / younger (feminine)
minore,younger / lesser
i miei nonni,my grandparents
sono pensionati,they are retired
vecchio,old
anziano,elderly
grande,big / older
maggiore,older / greater
stiamo insieme da otto anni,we have been together for eight years
distante,distant
ambiente,environment
camion,truck
lago di Garda,Lake Garda
azienda,company / business
scalo,stopover / layover
giugno,June
meteo,weather forecast
vantaggi,advantages
selvaggia,wild / untamed
lontanissima,very far (feminine)
di dove sei,where are you from
hai mai vissuto,have you ever lived
all'estero,abroad
bellissime spiagge,very beautiful beaches
sei mai stato in vacanza in Australia?,have you ever been on vacation to Australia?
viaggio,trip
tra dieci settimane andrò in Italia,in ten weeks I will go to Italy
dovresti,you should
non sapevo,I didn't know
penso che sia uguale,I think it's the same
volevo imparare,I wanted to learn
non avrei mai creduto che sarebbe stato possibile imparare un'altra lingua,I would have never believed it would have been possible to learn another language
ingegnere,engineer
ingegneria,engineering
ho iniziato nove anni fa,I started nine years ago
pagare,to pay
ho lasciato il mio lavoro,I quit my job
lasciare,to leave
fare affari,to do business
tornare,to return / to go back
siamo andati,we went
scalare,to climb
alla prossima,see you next time!
ha festeggiato il compleanno,she celebrated her birthday
proviene,comes from
complottista,conspiracy theorist
complotto,plot
governo,government
ebrei,Jews
ebreo,Jew
non pagherei,I would not pay
così tanto,this much
sono andati,they went
la famiglia è andata,the family has gone
passare del tempo,to spend time
suocera,mother-in-law
che io ricevo,that I receive
vibra,it vibrates
devo studiare per questo esame,I have to study for this exam
dovresti riuscire,you should be able to
ho fatto ricerca,I have done some research
stavo pensando,I was thinking
i giapponesi,the Japanese
costa sud,south coast
surfare,to surf
fare surf,to surf
principiante,beginner
viaggi molto,you travel a lot
viaggi spesso,you travel often
lavoro d'ufficio,office job
specialmente,especially
caraibi,Caribbean
di solito,usually
solitamente,usually
vanno,they go
pacchiano,tacky (masculine)
pacchiana,tacky (feminine)
costare,to cost
costa meno,it costs less
volare,to fly
rispetto a,with respect to
verso,towards
i provinciali,the people from the provinces
traduttore,translator
riuscire a,to manage to
tradurre,to translate
io traduco,I translate
tu traduci,you translate
lui traduce,he/she translates
noi traduciamo,we translate
voi traducete,you (plural) translate
loro traducono,they translate
mi piacerebbe andare,I would like to go
girare un film,to shoot a movie
noleggiare,to rent (vehicle/equipment)
guidare,to drive
sei mai stato,have you ever been
calarsi con la corda,to rappel down with a rope
calare,to decrease / to lower
cascata,waterfall
l'ho fatto per tanto tempo,I have done this for a long time
immersioni,dives
immersione,dive
immergersi,to dive
brevetto,certificate
licenza,license
fino a,until
di base,basic
avanzata,advanced (feminine)
fare immersioni,to do dives
ossessionato,obsessed
era un po' caro,it was a bit expensive
quando ero uno studente,when I was a student
e non è così bello,and it's not that good
dove abito ora,where I live now
sotto,under
relitto,shipwreck
non so se è il caso,I don't know if that's the case
seconda guerra mondiale,World War II
dentro a,inside of
diventare,to become
può diventare disorientante,it can become disorientating
disorientarsi,to disorient oneself
sono morte,they have died (feminine)
siti di immersione,dive sites
pesca,fishing
la grande barriera corallina,the Great Barrier Reef
sarà,it will be
come mai,how come
si surriscalda,it overheats
uccidere,to kill
una specie invasiva,an invasive species
autoctono,native / autochthonous
diffuso,spread out
diffondere,to spread / to diffuse
quale paese,which country
ha vinto,has won / won
vincere,to win
l'Australia è arrivata quarta,Australia finished fourth
primo,first
secondo,second
terzo,third
quarto,fourth
quinto,fifth
sesto,sixth
settimo,seventh
ottavo,eighth
nono,ninth
decimo,tenth
gara,competition
piatto,plate / dish / meal
come facevi quando eri studente,how did you do when you were a student
ingrassare,to gain weight
mettere su peso,to gain weight
peso,weight
pulire,to clean
sono ingrassato molto,I became much fatter
mi sono trasferito in Germania,I moved to Germany
adesso,now
provare,to try
incendiare,to burn / to set fire to
comprensibile,understandable
abbandonare,to abandon
andarsene via,to leave / to go away
io me ne vado,I'm leaving
tu te ne vai,you're leaving
lui se ne va,he's leaving
noi ce ne andiamo,we're leaving
voi ve ne andate,you (plural) are leaving
loro se ne vanno,they're leaving
sedici,sixteen
risposto,replied
fluentemente,fluently
di cui,of which
parlare di,to talk about
sto imparando italiano,I am learning Italian
casse automatiche,self-checkout machines
è stato imbarazzante,it was embarrassing
ti sentivi ansioso,you felt anxious
le Dolomiti,the Dolomites
il Papa,the Pope
è morto,he died
affollamento,crowding
folla,crowd
affollato,crowded
Piazza San Pietro,St. Peter's Square
mi sono svegliato presto,I woke up early
sono potuto andare,I was able to go
fortunatamente,fortunately
non ti sei mosso,you didn't move
ho potuto mangiare,I was able to eat
rumore,noise
Corea,Korea
ricevere,to receive
ricevuto,received
morire,to die
terremoto,earthquake
terremoti,earthquakes
non ho sentito nulla,I didn't feel anything
incendi,fires
muoiono,they die
materie scientifiche,scientific subjects
nuvola,cloud
migliorare,to improve
vulnerabile,vulnerable
sistema interno,internal system
una compagnia di telecomunicazione,a telecommunications company
stressante,stressful
le aziende,the companies
non sono motivate,they are not motivated
fanno scommesse,they make bets
giocare d'azzardo,to gamble
si fanno pagare poco,they charge little
i loro stipendi sono bassi,their salaries are low
stipendio,salary
punto di vista,point of view
fuso orario,time zone
comunichiamo,we communicate
per messaggio,by message
regioni,regions
aree,areas
si toccano,they touch each other
confinano l'una con l'altra,they border each other
ha nevicato in montagna,it snowed in the mountains
nevicare,to snow
invadente,intrusive / invasive
a disagio,uncomfortable / ill at ease
fare quattro chiacchiere,to have a chat
chiacchierare,to chat
rumeno,Romanian (masculine)
rumena,Romanian (feminine)
prendere,to take
preso,taken
perdere,to lose
perso,lost
il cantante,the singer (masculine)
la cantante,the singer (feminine)
testo di una canzone,lyrics of a song
te la cavi bene,you manage well
panetteria,bakery
puzzare,to smell (bad)
cucinare,to cook
malattia,illness / disease
trasporto pubblico,public transport
già,already / yet
ricetta,recipe
rallentare,to slow down
età,age
io leggo,I read
te la sei cavata bene,you managed well
avventura,adventure
mi pagano bene,they pay me well
lettera,letter
campeggio,camping / campground
tenda,tent
autonoleggio,car rental
prenotare un hotel,to book a hotel
dopo,after
viene,he/she comes
improvvisata,improvised
voglio fare quello che voglio,I want to do what I want
idealmente,ideally
ottimo,excellent
perfetto,perfect
benissimo,very well
d'accordo,agreed / okay
vuoto,empty
poche persone,few people
pieno,full
eccetto,except
le mucche,the cows
bistecca,steak
Firenze,Florence
mattiniero,early riser
cereali,cereals
grasso,fat
salutevole,healthful
sano,healthy
tu pranzi al lavoro?,do you have lunch at work?
ieri sono tornato,yesterday I came back
non ti vedo,I can't see you
mi dispiace,I'm sorry
puoi rientrare?,can you come back in?
il materiale,the material
non spesso,not often
vado in palestra,I go to the gym
