italian,english
avere fame,to be hungry
avere sete,to be thirsty
avere sonno,to be sleepy
avere caldo,to be hot
avere freddo,to be cold
avere la febbre,to have a fever
avere mal di testa,to have a headache
avere mal di gola,to have a sore throat
avere mal di pancia,to have a stomach ache
avere mal di schiena,to have back pain
avere mal di denti,to have a toothache
avere la nausea,to feel nauseous
avere il raffreddore,to have a cold
avere l'influenza,to have the flu
avere la tosse,to have a cough
avere il singhiozzo,to have hiccups
avere le vertigini,to feel dizzy
avere i brividi,to have chills
avere crampi,to have cramps
avere male,to be in pain
avere bisogno di,to need
avere voglia di,to feel like / to want
avere desiderio di,to long for / desire
avere intenzione di,to intend to
avere l'idea di,to be thinking of
avere in mente di,to be planning / thinking of
avere fretta di,to be in a hurry to
avere tempo di,to have time to
avere occasione di,to have the chance to
avere la possibilità di,to have the chance to / be able to
avere il permesso di,to be allowed to
avere paura di,to be afraid of
avere timore di,to be afraid of / wary of
avere ansia,to feel anxious
avere vergogna,to be ashamed
avere nostalgia di,to miss / feel nostalgic for
avere compassione per,to feel compassion for
avere pietà di,to pity
avere rispetto per,to respect
avere fiducia in,to trust
avere speranza,to hope / be hopeful
avere dubbi,to be unsure
avere il dubbio che,to suspect / wonder if
avere l'impressione che,to feel / get the impression that
avere la sensazione che,to feel that
avere il presentimento che,to have a feeling that
avere ragione,to be right
avere torto,to be wrong
avere fortuna,to be lucky
avere sfortuna,to be unlucky
avere cura di,to take care of
avere attenzione per,to pay attention to / care about
avere pazienza,to be patient
avere coraggio,to be brave
avere talento,to be talented
avere esperienza,to be experienced
avere buon senso,to be sensible
avere senso,to make sense
non avere senso,to not make sense
avere X anni,to be X years old
avere carattere,to be strong-willed / have personality
avere personalità,to have personality
avere stile,to be stylish
avere un appuntamento,to have an appointment / date
avere una riunione,to have a meeting
avere ospiti,to have guests
avere compagnia,to have company
avere da fare,to be busy
avere molto da fare,to have a lot to do
avere un problema,to have a problem
avere problemi con,to have trouble with
avere difficoltà a,to struggle with
avere l'opportunità di,to have the opportunity to
avere una domanda,to have a question
avere una risposta,to have an answer
avere una soluzione,to have a solution
avere scelta,to have a choice
non avere scelta,to have no choice
avere un'opinione,to have an opinion
avere un'idea,to have an idea
avere pensieri,to have thoughts
avere memoria di,to remember / have memory of
avere presente,to know what someone means / remember clearly
avere in mente,to have in mind
avere a che fare con,to have to do with
avere qualcosa contro,to have something against
non avere niente contro,to have nothing against
avere successo,to be successful
avere effetto,to work / take effect
avere influenza su,to influence
avere importanza,to be important
non avere importanza,to not matter
avere valore,to be valuable
avere conseguenze,to have consequences
avere un impatto su,to impact
avere tempo,to have time
avere poco tempo,to not have much time
avere fretta,to be in a hurry
avere un momento,to have a moment
avere una brutta giornata,to be having a bad day
avere una bella giornata,to have a good day
