italian,english
e,and
ed,and (before a vowel)
anche,also / too
pure,also / even
né,nor / neither
o,or
oppure,or / or else
ovvero,or / that is
ossia,that is / namely
cioè,that is / meaning
ma,but
però,but / however
tuttavia,however
eppure,yet / and yet
anzi,rather / actually
bensì,but rather
invece,instead
dunque,therefore / so
quindi,therefore / so
perciò,therefore
pertanto,therefore / thus
allora,then / so
infatti,in fact
peraltro,moreover / besides
che,that
perché,because / why / so that
poiché,since / because
siccome,since / because
dato che,given that / since
visto che,seeing that / since
dal momento che,since / given that
affinché,so that
cosicché,so that
in modo che,so that
se,if
qualora,if / in the event that
a condizione che,on condition that
purché,provided that
sempre che,provided that
a patto che,provided that
quando,when
mentre,while
finché,until / as long as
fin quando,until / as long as
appena,as soon as
non appena,as soon as
dopo che,after
prima che,before
da quando,since / from when
ogni volta che,every time that
sebbene,although
benché,although
anche se,even if / although
nonostante,despite / although
nonostante che,despite the fact that
per quanto,although / as much as
come,as / how
come se,as if
così come,just as
secondo che,depending on whether
piuttosto che,rather than
senza che,without
tranne che,except that
eccetto che,except that
salvo che,unless / except that
sia... sia...,both... and...
sia... che...,both... and...
né... né...,neither... nor...
o... o...,either... or...
oppure... oppure...,either... or...
non solo... ma anche...,not only... but also...
tanto... quanto...,as much... as...
così... come...,as... as...
più... che...,more... than...
meno... che...,less... than...
piuttosto... che...,rather... than...
per il fatto che,because of the fact that
a causa del fatto che,because of the fact that
con il risultato che,with the result that
al punto che,to the point that
tanto che,so much that
in quanto,insofar as / because
nel caso in cui,in case
ammesso che,assuming that
posto che,given that
supposto che,assuming that
a meno che non,unless
prima di,before (+ infinitive)
dopo,after (+ infinitive)
per,in order to (+ infinitive)
pur di,provided that / as long as (+ infinitive)
senza,without (+ infinitive)
invece di,instead of (+ infinitive)
nondimeno,nevertheless
ciononostante,nonetheless
nientemeno,no less
d'altra parte,on the other hand
d'altronde,on the other hand / besides
del resto,after all / moreover
ad ogni modo,in any case
in ogni caso,in any case
comunque,however / in any case
a ogni buon conto,in any event
in fin dei conti,after all / when all is said and done
dopotutto,after all
in conclusione,in conclusion
insomma,in short / all in all
in definitiva,ultimately / in the end
in sostanza,in substance / essentially
in altre parole,in other words
vale a dire,that is to say
per esempio,for example
ad esempio,for example
oltretutto,furthermore / besides
inoltre,furthermore / moreover
per di più,moreover / what's more
in più,in addition
al contrario,on the contrary
viceversa,vice versa
altrimenti,otherwise
se no,otherwise / if not
semmai,if anything / if ever
casomai,if anything / in case
eventualmente,possibly / if need be
fintanto che,as long as / so long as
fintantoché,as long as / so long as
ove,where / if (formal)
ogniqualvolta,whenever / every time
tutte le volte che,every time that
nel momento in cui,at the moment when
al momento che,at the moment that
fino a che,until
fino a quando non,until
a mano a mano che,as / gradually as
man mano che,as / gradually as
via via che,as / progressively as
nel frattempo,in the meantime
intanto,meanwhile / in the meantime
frattanto,meanwhile
di modo che,so that / in such a way that
in maniera che,in such a way that
tale che,such that
a tal punto che,to such an extent that
talmente... che...,so... that...
così... che...,so... that...
tanto... che...,so much... that...
a meno di,unless (+ infinitive)
salvo,unless / except
fuorché,except / apart from
se non che,except that / but
sennonché,except that / however
atteso che,considering that (formal)
considerato che,considering that
tenuto conto che,taking into account that
stante che,given that (formal)
nel caso che,in case
nell'eventualità che,in the event that
nell'ipotesi che,in the hypothesis that
a condizione di,on condition of (+ infinitive)
a patto di,on the condition of (+ infinitive)
al fine di,in order to (+ infinitive)
allo scopo di,for the purpose of (+ infinitive)
con l'intento di,with the intention of (+ infinitive)
per quanto riguarda,as far as... is concerned
quanto a,as for / regarding
relativamente a,with regard to
rispetto a,compared to / with regard to
in confronto a,in comparison with
in rapporto a,in relation to
in relazione a,in relation to
a proposito di,with regard to / speaking of
per quanto concerne,as far as... is concerned
anziché,rather than / instead of
altrimenti detto,otherwise known as
per contro,on the other hand
di conseguenza,as a consequence
per conseguenza,consequently
come conseguenza,as a consequence
di qui,hence
da qui,from here / hence
onde,whence / so that (formal)
per cui,which is why / therefore
ragion per cui,which is why
motivo per cui,the reason why
il che,which (connecting clause)
al che,at which point
dopodichè,after which
prima ancora che,even before
ancor prima che,even before
subito dopo che,right after
poco prima che,shortly before
poco dopo che,shortly after
nel mentre che,while / in the meantime
fin da quando,ever since
