italian,english
In questa foto c'è...,In this photo there is...
In questa foto ci sono...,In this photo there are...
In questa foto vediamo...,In this photo we see...
Possiamo vedere due persone,We can see two people
Possiamo vedere una coppia,We can see a couple
Al centro della foto vediamo...,In the center of the photo we see...
Sullo sfondo vediamo...,In the background we see...
In primo piano vediamo...,In the foreground we see...
"A destra c'è...","On the right there is..."
"A sinistra c'è...","On the left there is..."
La persona a sinistra...,The person on the left...
La persona a destra...,The person on the right...
In alto a destra,At the top right
In alto a sinistra,At the top left
In basso a destra,At the bottom right
In basso a sinistra,At the bottom left
Dietro a...,Behind...
Accanto a...,Next to...
Davanti a...,In front of...
Si trovano in...,They are located in...
Tutti e due...,Both of them...
Tutti e tre,All three
Il ragazzo ha...,The boy has...
La ragazza porta...,The girl is wearing...
I due ragazzi indossano...,The two young people are wearing...
Sono turisti perché...,They are tourists because...
Forse sono fidanzati perché...,Maybe they are engaged because...
Secondo me sono amici perché...,In my opinion they are friends because...
Secondo me si sente sola perché...,In my opinion she feels lonely because...
Sembra annoiata forse perché...,She seems bored maybe because...
La ragazza in primo piano sembra...,The girl in the foreground seems...
Le persone sullo sfondo stanno...,The people in the background are...
Probabilmente sta...,Probably he/she is...
È estate perché...,It's summer because...
Ridono,They are laughing
Sono innamorati,They are in love
Sono di buon umore,They are in a good mood
Lei è annoiata,She is bored
Lei sembra annoiata,She seems bored
Lei è in fretta,She is in a hurry
Si toccano,They touch each other
Si prendono per mano,They hold hands
Sta mangiando un gelato,He/she is eating an ice cream
Sta facendo una foto,He/she is taking a photo
Sta scattando una foto,He/she is taking a photo
Fare una foto,To take a photo
Scattare una foto,To take a photo
La macchina fotografica,The camera
Loro stanno aspettando il loro turno,They are waiting for their turn
Mi chiamo...,My name is...
Sono di...,I'm from...
Ho ... anni,I'm ... years old
Come ti chiami?,What's your name?
Quanti anni hai?,How old are you?
Di dove sei?,Where are you from?
Lavori o studi?,Do you work or study?
Come sei?,What are you like?
Lavoro,I work
Vado a scuola,I go to school
Vado all'università,I go to university
Studio,I study
Cerco lavoro,I'm looking for a job
Sono un po'...,I'm a bit...
Sono molto...,I'm very...
alto,tall
basso,short / low
magro,thin
robusto,sturdy / heavily built
giovane,young
vecchio,old
bello,beautiful / handsome
brutto,ugly
Ho i capelli corti,I have short hair
Ho i capelli lunghi,I have long hair
Ho i capelli ricci,I have curly hair
Ho i capelli lisci,I have straight hair
Ho i capelli mossi,I have wavy hair
Ho i capelli biondi,I have blonde hair
Ho i capelli castani,I have brown hair
Ho i capelli neri,I have black hair
Ho i capelli rossi,I have red hair
Ho i capelli bianchi,I have white hair
Ho gli occhi azzurri,I have blue eyes
Ho gli occhi celesti,I have light blue eyes
Ho gli occhi castani,I have brown eyes
Ho gli occhi neri,I have dark/black eyes
Ho gli occhi verdi,I have green eyes
Ho gli occhi chiari,I have light-colored eyes
Ho gli occhi scuri,I have dark eyes
Porto gli occhiali,I wear glasses
Porto le lenti,I wear contact lenses
la camera,the room
la stanza,the room
il palazzo,the building
l'edificio,the building
il soggiorno,the living room
il divano,the sofa
il cuscino,the cushion
il tavolino,the small table / coffee table
il camino,the fireplace
il quadro,the painting
moderno,modern
con molta luce,with a lot of light
con poca luce,with little light
lo studio,the study
la scrivania,the desk
la libreria,the bookcase
la pianta,the plant
il piano,the floor / storey
grande,big
il bagno,the bathroom
l'appartamento,the apartment
piccolo,small
la camera da letto,the bedroom
la finestra,the window
la poltrona,the armchair
il tappeto,the rug / carpet
la lampada,the lamp
il comodino,the bedside table
la cucina,the kitchen
Abito in Via...,I live on ... Street
Abito in Piazza...,I live in ... Square
in centro,in the city center
in periferia,on the outskirts
La casa dei miei sogni ha...,My dream house has...
al primo piano,on the first floor
al secondo piano,on the second floor
al terzo piano,on the third floor
al piano terra,on the ground floor
all'ultimo piano,on the top floor
Nella mia camera c'è...,In my room there is...
Nella mia camera ci sono...,In my room there are...
fare una gita,to go on a day trip / excursion
fare un picnic,to have a picnic
respirare aria pulita,to breathe clean air
andare in macchina,to go by car
al mare,at the sea / to the seaside
sulla spiaggia,on the beach
al lago,at the lake
in campagna,in the countryside
in montagna,in the mountains
in primavera,in spring
in estate,in summer
in autunno,in autumn
in inverno,in winter
il fine settimana,the weekend
lo zaino,the backpack
gli alberi,the trees
le foglie,the leaves
la sabbia,the sand
il verde,the greenery
il prato,the meadow / lawn
il cielo,the sky
la nuvola,the cloud
È bel tempo,The weather is nice
Fa bel tempo,The weather is nice
È una bella giornata,It's a beautiful day
Fa molto caldo,It's very hot
C'è il sole,It's sunny
C'è molta gente,There are a lot of people
camminare,to walk
la musica classica,classical music
la musica lirica,opera music
il rock,rock
il pop,pop
il jazz,jazz
il rap,rap
la tecno,techno music
la canzone,the song
il/la cantante,the singer
il gruppo,the band / group
l'orchestra,the orchestra
la banda,the band
il concerto,the concert
la musica dal vivo,live music
lo strumento musicale,the musical instrument
la chitarra,the guitar
il pianoforte,the piano
il violino,the violin
il basso,the bass
il palco,the stage
il pubblico,the audience
le cuffie,the headphones
la piattaforma di streaming,the streaming platform
Mi piace ascoltare...,I like to listen to...
Preferisco la musica...,I prefer ... music
So suonare il/la...,I can play the...
Ha una voce molto bella,He/she has a very beautiful voice
il calcio,football / soccer
la pallacanestro,basketball
la pallavolo,volleyball
la corsa,running
il/la giocatore/trice,the player
la squadra,the team
l'avversario,the opponent
la partita,the match
il campo,the field / court
la palla,the ball
il pallone,the (large) ball
la porta,the goal
la rete,the net / goal
il canestro,the basket
il tiro,the shot
segnare,to score
l'allenamento,the training
la gara,the race / competition
il tifo,the support / fandom
il tifoso,the fan
la coppa,the cup
la medaglia,the medal
lo stadio,the stadium
la vittoria,the victory
il pericolo,the danger
la violenza,the violence
il pugile,the boxer
il pugilato,boxing
l'automobilismo,motor racing
il pilota,the driver / pilot
Giocare a calcio,To play football
Fare canestro,To score a basket
Fare rete,To score a goal
Fare il tifo,To support / cheer for a team
campione del mondo,world champion
gli acquisti,the purchases
le spese,the shopping / expenses
fare spese,to go shopping
il negozio di abbigliamento,the clothing store
il negozio di calzature,the shoe store
le scarpe,the shoes
la gioielleria,the jewelry store
la profumeria,the perfume shop
la vetrina,the shop window
guardare le vetrine,to window-shop
la bancarella,the market stall
il mercato,the market
il centro commerciale,the shopping mall
il/la commesso/a,the shop assistant
il cliente,the customer
i saldi,the sales
lo sconto,the discount
costoso,expensive
caro,expensive / dear
economico,cheap / affordable
spendere,to spend
scegliere,to choose
la scelta,the choice
Mi può fare uno sconto?,Can you give me a discount?
Pago con la carta,I'll pay by card
il matrimonio,the marriage / wedding
il matrimonio religioso,a religious wedding
il matrimonio civile,a civil wedding
il prete,the priest
il sindaco,the mayor
in chiesa,in church
in comune,at the town hall
il vestito da sposa,the wedding dress
il pranzo di nozze,the wedding lunch
lo/la sposo/a,the groom / bride
sposarsi,to get married
la cerimonia,the ceremony
gli invitati,the guests
i testimoni,the witnesses
i parenti,the relatives
i suoceri,the in-laws
il genitore,the parent
allattare,to breastfeed
educare,to raise / educate
l'educazione,upbringing / education
crescere,to grow / raise
la nascita,the birth
l'adozione,the adoption
adottare,to adopt
la separazione,the separation
separarsi,to separate
il divorzio,the divorce
divorziare,to divorce
la responsabilità,the responsibility
la convivenza,living together / cohabitation
convivere,to live together
la crisi,the crisis
il figlio unico,the only child
il maltempo,bad weather
la pioggia,the rain
la neve,the snow
le previsioni,the forecast
sereno,clear (sky)
nuvoloso,cloudy
variabile,changeable
freddo,cold
caldo,hot
i venti,the winds
la temperatura,the temperature
il temporale,the thunderstorm
il clima,the climate
il cambiamento climatico,climate change
l'acqua alta,high water / flooding
la marea,the tide
l'incendio,the fire
i vigili del fuoco,the firefighters
i pompieri,the firefighters
il fuoco,the fire
il rubinetto,the tap
lo spreco,the waste
riciclare,to recycle
la raccolta differenziata,separate waste collection
il bidone,the bin
il rifiuto,the waste / rubbish
la plastica,the plastic
le fonti di energia rinnovabili,renewable energy sources
Al nord nevicherà,In the north it will snow
Al sud pioverà,In the south it will rain
Le temperature saranno...,The temperatures will be...
Domani sarà sereno,Tomorrow it will be clear
Mi trasferisco,I'm moving / relocating
Mi sono trasferito,I moved / relocated
