italian,english
Ah!,Ah!
Eh!,Eh! / Hey! / Well!
Ih!,Eek! / Yikes!
Mò!,Now!
No!,No!
No?,Right?
Oh!,Oh! / Hey!
Ok!,Okay!
Sì!,Yes!
Su!,Come on! / Up!
Uh!,Uh!
Ahi!,Ow!
Aia!,Ow!
Alt!,Halt!
Bah!,Bah! / I'm not convinced!
Bee!,Baa!
Beh!,Well!
Boh!,Dunno! / No idea!
Dai!,Come on!
Ehm!,Um!
Ehi!,Hey!
Già!,Indeed! / Already!
Grr!,Grr!
Mah!,Who knows! / Hmm!
Mmm!,Hmm!
Muu!,Moo!
Ohè!,Hey there!
Ohi!,Oh dear!
Olé!,Olé!
Ops!,Oops!
Puh!,Pfft!
Sai?,You know?
Shh!,Shh!
Toh!,Well well! / Look at that!
Uff!,Ugh! / Phew!
Vai!,Go! / Yes!
Via!,Go! / Away!
Wow!,Wow!
Ahia!,Ow!
Alto!,Stop! / Halt!
Amen!,So be it! / Oh well!
Argh!,Argh!
Bang!,Bang!
Bene!,Good!
Boom!,Boom!
Ciao!,Hi! / Bye!
Cioè!,I mean!
Crac!,Crack!
Daje!,Come on! (Roman slang)
Ecco!,Here it is! / There! / Exactly!
Embè!,So what!
Fico!,Cool!
Gesù!,Jesus!
Miao!,Meow!
Oooh!,Oooh!
Orca!,Wow! / Gee whiz!
Pace!,Peace!
Psst!,Psst!
Puah!,Yuck! / Phew!
Ssst!,Shh!
Tipo!,Like!
Uffa!,Ugh! / How annoying!
Urrà!,Hurrah!
Vero!,True!
Vero?,Right?
Viva!,Long live! / Hooray!
Addio!,Farewell!
Ahimè!,Alas!
Aiuto!,Help!
Basta!,Enough!
Bella!,Nice one!
Bingo!,Bingo!
Bleah!,Yuck!
Brava!,Well done! (to a female)
Brave!,Well done! (to females)
Bravi!,Well done! (to a group)
Bravo!,Well done! (to a male)
Calma!,Calm down!
Cazzo!,Fuck! (vulgar)
Certo!,Sure! / Of course!
Cielo!,Heavens!
Corna!,Touch wood!
Evvai!,Let's go! / Hooray!
Ferma!,Stop! (to a female)
Fermo!,Stop! / Freeze!
Forsa!,Maybe! (dialectal)
Forte!,Cool! / Awesome!
Forse!,Maybe!
Forza!,Come on! / Go!
Fuoco!,Fire!
Furbo!,Sly one!
Giuro!,I swear!
Ladro!,Thief!
Ma no!,No come on! / Of course not!
Ma sì!,Yeah sure!
Ma va!,No way! / Come on!
Mamma!,Mum! / Oh my!
Merda!,Shit! (vulgar)
Oddio!,Oh God! / Oh no!
Oh no!,Oh no!
Ohilà!,Hello there!
Ohimè!,Woe is me!
Pietà!,Mercy! / Pity!
Porco!,Damn! (vulgar)
Prego!,You're welcome! / Please!
Quasi!,Almost!
Salve!,Hello!
Scusa!,Sorry! / Excuse me! (informal)
Scusi!,Sorry! / Excuse me! (formal)
Senta!,Listen! (formal)
Senti!,Listen! (informal)
Tieni!,Here! / Hold this!
Vabbè!,Oh well! / Alright then!
Vaffè!,Mild shortened fuck off!
Zitta!,Be quiet! (to a female)
Zitto!,Be quiet! (to a male)
A dopo!,See you later!
Allora!,So! / Well then!
Anvedi!,Look at that!
Auguri!,Best wishes!
Avanti!,Come in! / Go ahead!
Benone!,Great!
Capito?,You know? / Got it?
Cavoli!,Damn! / Heck!
Cavolo!,Damn! / Heck!
Cristo!,Christ!
Dunque!,So! / Therefore!
Eccome!,And how! / You bet!
Ehi là!,Hey there!
Esatto!,Exactly!
Evviva!,Hooray!
Giusto!,Right!
Grande!,Great! / Legend!
Grazie!,Thanks!
Guarda!,Look! / Listen!
Ma dai!,Come on! / No way!
Macché!,Not at all! / No way!
Magari!,I wish! / Maybe!
Niente!,Nothing! / Never mind!
Occhio!,Watch out!
Oh Dio!,Oh God!
Ottimo!,Excellent!
Presto!,Quickly! / Hurry!
Pronto!,Hello! (on the phone)
Salute!,Bless you! / Cheers!
Schifo!,Gross!
Sgrunt!,Grr!
Splash!,Splash!
Suvvia!,Come now!
Andiamo!,Let's go!
Appunto!,Exactly! / That's the point!
Attento!,Watch out!
Bau bau!,Woof woof!
Capperi!,Wow! / Geez!
Cappita!,Holy cow!
Caspita!,Wow! / Gosh!
Cin cin!,Cheers!
Cip cip!,Chirp chirp!
Coccodè!,Cluck!
Cribbio!,Crikey!
Davvero?,Really?
Diamine!,Good gracious!
Din don!,Ding dong!
Dio mio!,My God!
Infatti!,Exactly! / In fact!
Insomma!,Basically! / Well!
Madonna!,Oh my God! (lit. Madonna)
Maronna!,Oh my! (Neapolitan)
Minchia!,Holy crap! (Sicilian)
Mio Dio!,My God!
Mizzica!,Wow! (Sicilian)
Per Dio!,For God's sake!
Pio pio!,Cheep cheep!
Ragazzi!,Guys! / Come on guys!
Ron ron!,Purr!
Sentite!,Listen! (plural)
Tic tac!,Tick-tock!
Toc toc!,Knock knock!
Va bene!,Alright! / Okay!
Vattene!,Get out! / Go away!
A domani!,See you tomorrow!
A presto!,See you soon!
Beato te!,Lucky you!
Bugiardo!,Liar!
Che noia!,How boring!
Comunque!,Anyway!
Coraggio!,Courage! / Come on!
Corretto!,Correct!
E allora!,So what!
Figurati!,Don't mention it! / No way!
Ma basta!,Enough already!
Orribile!,Horrible!
Patatrac!,Crash! / Disaster!
Pazienza!,Never mind! / Oh well!
Perbacco!,Goodness! / By Jove!
Perdinci!,Good heavens!
Perfetto!,Perfect!
Permesso!,Excuse me! / May I come through?
Piantala!,Cut it out!
Poverina!,Poor thing! (feminine)
Poverino!,Poor thing! (masculine)
Silenzio!,Silence!
Smettila!,Stop it!
Speriamo!,Let's hope so!
Sto bene!,I'm fine!
Stupendo!,Wonderful!
Accidenti!,Damn! / Gosh!
Benissimo!,Very good!
Benvenuto!,Welcome!
Buonasera!,Good evening!
Che barba!,How boring!
Che bello!,How nice!
Che buffo!,How funny!
Che cos'è!,What is it!
Che guaio!,What a problem!
Che palle!,What a pain! (vulgar-ish)
Chi lo sa!,Who knows!
D'accordo!,Agreed! / Alright!
Depravato!,Depraved!
Fa niente!,It doesn't matter!
Madonnina!,Oh my! (lit. little Madonna)
Maledetto!,Damn! / Cursed!
Mamma mia!,My goodness!
Mannaggia!,Damn!
Meno male!,Thank goodness!
Per pietà!,For pity's sake!
Possibile!,Is it possible!
Poveretto!,Poor thing!
Povero me!,Poor me!
Purtroppo!,Unfortunately!
Splendido!,Splendid!
Sul serio?,Seriously?
Attenzione!,Attention! / Careful!
Bentornato!,Welcome back!
Buonanotte!,Good night!
Buongiorno!,Good morning! / Hello!
Certamente!,Certainly!
Che casino!,What a mess!
Che orrore!,How awful!
Che rabbia!,How infuriating!
Che ridere!,How funny!
Che schifo!,How disgusting!
Che spasso!,What fun!
Che strano!,How strange!
Dannazione!,Damnation!
Eccellente!,Excellent!
Fantastico!,Fantastic!
Finalmente!,Finally!
Per carità!,For goodness' sake!
Per favore!,Please!
Santi numi!,Good heavens!
Stai zitto!,Shut up!
Tranquillo!,Relax! / Take it easy!
Vaffanculo!,Fuck off! (strong vulgar)
Accipicchia!,Gosh!
Arrivederci!,Goodbye!
Che diavolo!,What the devil!
Che fortuna!,What luck!
Che peccato!,What a shame!
Che stupido!,How stupid!
Complimenti!,Congratulations!
Impossibile!,Impossible!
Incredibile!,Incredible!
Maledizione!,Curse! / Damnation!
Per fortuna!,Luckily!
Porca vacca!,Damn!
Santo cielo!,Heavens!
Che disastro!,What a disaster!
Che sorpresa!,What a surprise!
Che vergogna!,What a disgrace!
Chicchirichì!,Cock-a-doodle-doo!
Grazie a Dio!,Thank God!
Lascia stare!,Leave it alone!
Misericordia!,Mercy! / Good heavens!
Non ci credo!,I don't believe it!
Praticamente!,Basically!
Proprio così!,Exactly!
Assolutamente!,Absolutely!
Porca miseria!,Damn it!
Roba da matti!,That's crazy!
Zitto e buono!,Shut up and behave!
Che vuoi farci!,What can you do!
Fai attenzione!,Pay attention!
Mannaggia a te!,Damn you!
Santa pazienza!,For crying out loud!
Manco per sogno!,Not even in your dreams!
Non è possibile!,It can't be!
Assolutamente no!,Absolutely not!
Disgraziatamente!,Unfortunately!
In bocca al lupo!,Good luck!
Neanche per sogno!,Not a chance!
Per l'amor di Dio!,For the love of God!
