italian,english
abbandonare,to abandon
affittare,to rent
andare,to go
andarsene,to leave / to go away
aprire,to open
arrivare,to arrive
ascoltare,to listen
attaccare,to attack / to stick
avere,to have
calare,to decrease / to lower
calarsi,to lower oneself / to rappel
cambiare,to change / to exchange
chiacchierare,to chat
cominciare,to begin
comunicare,to communicate
condividere,to share
confinare,to border
conoscere,to know / to meet
costare,to cost
cucinare,to cook
decidere,to decide
diffondere,to spread / to diffuse
disorientarsi,to become disoriented
diventare,to become
dormire,to sleep
dovere,to have to / must
essere,to be
fare,to do / to make
funzionare,to work / to function
giocare,to play
girare,to turn / to shoot (a film)
guidare,to drive
immergersi,to dive
imparare,to learn
incendiare,to burn / to set fire to
ingrassare,to gain weight
iniziare,to start / to begin
insegnare,to teach
lasciare,to leave
lavorare,to work
leggere,to read
migliorare,to improve
morire,to die
nevicare,to snow
noleggiare,to rent (vehicle/equipment)
nuotare,to swim
pagare,to pay
parlare,to speak
partecipare,to participate
partire,to leave / to depart
passare,to spend (time) / to pass
passeggiare,to stroll
pensare,to think
perdere,to lose
piacere,to like / to be pleasing
potere,to be able to / can
prendere,to take
prenotare,to book / to reserve
provare,to try
provenire,to come from
pulire,to clean
puzzare,to smell (bad)
rallentare,to slow down
ricevere,to receive
ricordare,to remember
riparare,to repair
riportare,to bring back
riuscire,to manage / to succeed
rubare,to steal
sapere,to know
scalare,to climb
sciare,to ski
scioccare,to shock
seguire,to follow
sentire,to hear / to feel
studiare,to study
suonare,to play (an instrument)
surfare,to surf
surriscaldare,to overheat
svegliare,to wake up
svilupparsi,to develop
toccarsi,to touch each other
tornare,to return / to go back
tradurre,to translate
trasferirsi,to move / to relocate
uccidere,to kill
venire,to come
viaggiare,to travel
vibrare,to vibrate
vincere,to win
visitare,to visit
vivere,to live
volare,to fly
volere,to want
votare,to vote
